username,first_name,last_name,role,institution,password
student_gdu_19,Kerry,Smith,STUDENT,G.D University,testpassword123
student_gdu_2,Patricia,Green,STUDENT,G.D University,testpassword123
student_gdu_20,Joshua,Grant,STUDENT,G.D University,testpassword123
student_gdu_3,Thomas,Davis,STUDENT,G.D University,testpassword123
student_gdu_4,Jennifer,Freeman,STUDENT,G.D University,testpassword123
student_gdu_5,Jennifer,Hernandez,STUDENT,G.D University,testpassword123
student_gdu_6,Michael,Evans,STUDENT,G.D University,testpassword123
student_gdu_7,William,Garrison,STUDENT,G.D University,testpassword123
student_gdu_8,Amy,Martin,STUDENT,G.D University,testpassword123
student_gdu_9,Kelsey,Kline,STUDENT,G.D University,testpassword123
student_mr_1,Amanda,Smith,STUDENT,Manav Rachna University,testpassword123
student_mr_10,Toni,Villegas,STUDENT,Manav Rachna University,testpassword123
student_mr_11,Jason,Oliver,STUDENT,Manav Rachna University,testpassword123
student_mr_12,Sean,Evans,STUDENT,Manav Rachna University,testpassword123
student_mr_13,April,Mckinney,STUDENT,Manav Rachna University,testpassword123
student_mr_14,Paul,Perkins,STUDENT,Manav Rachna University,testpassword123
student_mr_15,Megan,Diaz,STUDENT,Manav Rachna University,testpassword123
student_mr_16,James,Morales,STUDENT,Manav Rachna University,testpassword123
student_mr_17,Antonio,Armstrong,STUDENT,Manav Rachna University,testpassword123
student_mr_18,Gina,Hernandez,STUDENT,Manav Rachna University,testpassword123
student_mr_19,Jose,Kim,STUDENT,Manav Rachna University,testpassword123
student_mr_2,Heather,Brewer,STUDENT,Manav Rachna University,testpassword123
student_mr_20,William,Hughes,STUDENT,Manav Rachna University,testpassword123
student_mr_3,Stephanie,Morgan,STUDENT,Manav Rachna University,testpassword123
student_mr_4,Laura,Brown,STUDENT,Manav Rachna University,testpassword123
student_mr_5,William,Hernandez,STUDENT,Manav Rachna University,testpassword123
student_mr_6,James,Ballard,STUDENT,Manav Rachna University,testpassword123
student_mr_7,Chris,Berry,STUDENT,Manav Rachna University,testpassword123
student_mr_8,Adam,Alvarez,STUDENT,Manav Rachna University,testpassword123
student_mr_9,Brian,Williams,STUDENT,Manav Rachna University,testpassword123
