username,role,institution,password
student_mr_14,STUDENT,Manav Rachna University,testpassword123
student_mr_15,STUDENT,Manav Rachna University,testpassword123
student_mr_16,STUDENT,Manav Rachna University,testpassword123
student_mr_17,STUDENT,Manav Rachna University,testpassword123
student_mr_18,STUDENT,Manav Rachna University,testpassword123
student_mr_19,STUDENT,Manav Rachna University,testpassword123
student_mr_20,STUDENT,Manav Rachna University,testpassword123
alumni_mr_1,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_2,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_3,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_4,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_5,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_6,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_7,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_8,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_9,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_10,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_11,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_12,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_13,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_14,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_15,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_16,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_17,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_18,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_19,ALUMNI,Manav Rachna University,testpassword123
alumni_mr_20,ALUMNI,Manav Rachna University,testpassword123
